dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,quad1,quad2,quad3,quad4,size,orientation,quad1_quad2,quad1_quad3,quad1_quad4,quad1_orientation,quad1_size,quad2_quad3,quad2_quad4,quad2_size,quad2_orientation
quad_causal,simple64bn,0,2.32.8,1.0,0.0.0.0,0,0.7654865189617436,0.7690098671755249,0.8178531977344083,0.1121978387236595,0.1536704450845718,0.183143749833107,0.1823584139347076,0.2910996377468109,0.1291594505310058,0.1141294986009597,0.2298242747783661,0.2302561700344085,0.2629822194576263,0.1752091199159622,0.1739436089992523,0.221792995929718,0.3042603135108948,0.2160197794437408,0.2428630143404007
quad_causal,simple64bn,0,2.32.8,1.0,0.0.0.0,1,0.7656724368852543,0.7679600132547034,0.802229945189929,0.1001651659607887,0.148010104894638,0.1707327216863632,0.2271836549043655,0.3170616030693054,0.1092030853033065,0.1098174676299095,0.2223230302333831,0.2110623568296432,0.2772623598575592,0.1521043479442596,0.1513284295797348,0.2393572777509689,0.3193199038505554,0.215450033545494,0.1845711469650268
quad_causal,simple64bn,0,2.32.8,1.0,0.0.0.0,2,0.7644585330706687,0.7660175237890359,0.810992016358662,0.1002690345048904,0.1641842424869537,0.1600369662046432,0.174600139260292,0.2778902351856231,0.1226250454783439,0.0934181809425354,0.229785218834877,0.2592227756977081,0.2530833482742309,0.1645870059728622,0.1557574868202209,0.1947261244058609,0.2750990390777588,0.1777388751506805,0.1844141483306884
quad_causal,simple64bn,0,2.32.8,1.0,0.0.0.0,3,0.765231496116014,0.7678247150077522,0.8093103709395528,0.1245505437254905,0.1577132195234298,0.201105460524559,0.2178518325090408,0.3454945683479309,0.1072331219911575,0.1353949457406997,0.237669363617897,0.22684907913208,0.2896495163440704,0.1847260296344757,0.2007774263620376,0.220804676413536,0.2910702228546142,0.1609987020492553,0.214310422539711
quad_causal,simple64bn,0,2.32.8,1.0,0.0.0.0,4,0.7629679875949333,0.7645244238893838,0.8340355334646578,0.1111672818660736,0.1668629944324493,0.1795397996902465,0.1960849016904831,0.294053167104721,0.112093985080719,0.1448906511068344,0.2265736013650894,0.2083060145378112,0.3390686810016632,0.1583304554224014,0.1778375506401062,0.23197603225708,0.3076801896095276,0.1828950494527816,0.2135968655347824
quad_causal,simple64bn,1,2.32.8,1.0,0.0.0.0,0,0.7460757418858778,0.7463443376417236,0.7470721454561663,0.0978550389409065,0.1574132740497589,0.1898002326488495,0.1989275217056274,0.2689017653465271,0.1010420173406601,0.1097964197397232,0.2264646589756012,0.2102533429861068,0.3003712892532348,0.1512904614210128,0.1490232497453689,0.1874542087316513,0.2941335141658783,0.1592029929161071,0.2115329205989837
quad_causal,simple64bn,1,2.32.8,1.0,0.0.0.0,1,0.7441848628347696,0.7446066347911928,0.7441747356892272,0.0890955552458763,0.1723194867372512,0.1491066813468933,0.2384214401245117,0.2615114748477936,0.1092941686511039,0.0997423455119133,0.2220716327428817,0.2392104268074035,0.2925782203674316,0.1592451333999633,0.1781661510467529,0.2289764136075973,0.2568238377571106,0.1728004068136215,0.1873518079519271
quad_causal,simple64bn,1,2.32.8,1.0,0.0.0.0,2,0.7461376018898771,0.7474898399791673,0.7475159165662175,0.0977642089128494,0.1618407219648361,0.1501899808645248,0.194904163479805,0.3103401064872741,0.1336353570222854,0.130383014678955,0.1973876506090164,0.2411576062440872,0.3041297495365143,0.1747815608978271,0.1740923076868057,0.1632978916168213,0.264126718044281,0.1426357179880142,0.1523909568786621
quad_causal,simple64bn,1,2.32.8,1.0,0.0.0.0,3,0.7449360573972027,0.7453872006883263,0.7449393460862261,0.11847535520792,0.1705671995878219,0.1591046154499054,0.2351031899452209,0.2588843405246734,0.1333994567394256,0.1403510868549347,0.2094082534313202,0.2439240962266922,0.2945216298103332,0.1637851595878601,0.196456179022789,0.2135042548179626,0.22291100025177,0.1529161185026168,0.159675732254982
quad_causal,simple64bn,1,2.32.8,1.0,0.0.0.0,4,0.7448490910185891,0.7455741022608758,0.7452244445538787,0.1179791167378425,0.150707334280014,0.1778776794672012,0.20429427921772,0.2855337858200073,0.1269495487213134,0.1324509531259536,0.216998353600502,0.2062377780675888,0.268842875957489,0.1337020695209503,0.1515573263168335,0.209119439125061,0.3715898096561432,0.2028656899929046,0.2649155557155609
