dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
mnist,conv3,2,2.22.5,1.0,0.0.0.0,0,0.2391507602378599,0.2443757522810365,,0.089953526854515,0.0859315246343612,0.1165623068809509,0.105078250169754,0.1098802387714386,0.199813574552536,0.1093326061964035
mnist,conv3,2,2.22.5,1.0,0.0.0.0,1,0.2381248998820262,0.2519440106044397,,0.0957441851496696,0.0677338540554046,0.1249962449073791,0.1185992509126663,0.1287528723478317,0.1637493520975113,0.0630087405443191
mnist,conv3,2,2.22.5,1.0,0.0.0.0,2,0.2467319825395,0.2610488128290671,,0.1153721660375595,0.0616470351815223,0.1409346461296081,0.113093614578247,0.1354205012321472,0.2056344300508499,0.054502222687006
mnist,conv3,2,2.22.5,1.0,0.0.0.0,3,0.2439348477337791,0.2517859822068274,,0.0816940367221832,0.0644698366522789,0.1037686914205551,0.1065623462200164,0.1000650897622108,0.1308109611272812,0.0659112334251403
mnist,conv3,2,2.22.5,1.0,0.0.0.0,4,0.2456538874114428,0.2528675190616528,,0.0931300520896911,0.0575186535716056,0.1259938776493072,0.1103784143924713,0.117210753262043,0.1550811678171157,0.0672079175710678
mnist,conv3,2,2.50.5,1.0,0.0.0.0,0,0.2387255141309631,0.2784697743831068,,0.0830718576908111,0.0717972591519355,0.1179311722517013,0.1044830232858657,0.1120808646082878,0.1912785321474075,0.0708144083619117
mnist,conv3,2,2.50.5,1.0,0.0.0.0,1,0.2646472150274705,0.2829227635385668,,0.1016063392162323,0.087203249335289,0.1202342808246612,0.1337777078151703,0.1188710480928421,0.1792393624782562,0.0736667439341545
mnist,conv3,2,2.50.5,1.0,0.0.0.0,2,0.2491283207907565,0.2525271592953473,,0.0826609283685684,0.0647162795066833,0.1158949881792068,0.1139756813645362,0.1092927083373069,0.1326943933963775,0.0501723773777484
mnist,conv3,2,2.50.5,1.0,0.0.0.0,3,0.2427732634011848,0.2536839028806147,,0.0753504410386085,0.066204659640789,0.1050357073545456,0.1082037761807441,0.1066564917564392,0.1649773716926574,0.0820607170462608
mnist,conv3,2,2.50.5,1.0,0.0.0.0,4,0.2479449024504036,0.2588045439656158,,0.1196132749319076,0.067848652601242,0.131870612502098,0.1141709834337234,0.1426125168800354,0.2240092158317566,0.059163961559534
mnist,conv3,2,2.15.22,1.0,0.0.0.0,0,0.2494708613083263,0.2599374198265116,,0.0880919769406318,0.1128572151064872,0.1094298362731933,0.1045382320880889,0.1108751446008682,0.1595426946878433,0.0901407077908515
mnist,conv3,2,2.15.22,1.0,0.0.0.0,1,0.2459440088649727,0.2653070123214855,,0.0863046646118164,0.0506195835769176,0.1237050890922546,0.1189700365066528,0.126890018582344,0.2531448602676391,0.0549211502075195
mnist,conv3,2,2.15.22,1.0,0.0.0.0,2,0.2619980394439135,0.2745579258969229,,0.0863096043467521,0.0781623274087905,0.1106527224183082,0.0861248672008514,0.1235189586877822,0.1846754252910614,0.0602446086704731
mnist,conv3,2,2.15.22,1.0,0.0.0.0,3,0.2432686648570622,0.2474173636310638,,0.0986610278487205,0.0680775120854377,0.1320867389440536,0.1328340917825698,0.1359621435403823,0.2246044874191284,0.0570647791028022
mnist,conv3,2,2.15.22,1.0,0.0.0.0,4,0.2468295001184823,0.2513031235449566,,0.077742651104927,0.0561512745916843,0.0994629487395286,0.0850431248545646,0.0989327728748321,0.1891913414001464,0.0623690001666545
mnist,conv3,2,2.22.22,1.0,0.0.0.0,0,0.2430435931278787,0.2553169216364159,,0.0720481425523758,0.0786647424101829,0.1100532487034797,0.0932226777076721,0.0943524092435836,0.1665279418230056,0.0610433295369148
mnist,conv3,2,2.22.22,1.0,0.0.0.0,1,0.2516429490516627,0.2643262104297784,,0.0857289731502533,0.0632516592741012,0.1094216033816337,0.1354677081108093,0.1151915118098259,0.1768657118082046,0.0671707391738891
mnist,conv3,2,2.22.22,1.0,0.0.0.0,2,0.2431335582872996,0.248217710781953,,0.0790858715772628,0.0669094249606132,0.1046327203512191,0.1043721511960029,0.1030472666025161,0.1712884753942489,0.0762417018413543
mnist,conv3,2,2.22.22,1.0,0.0.0.0,3,0.2468465951268824,0.2599122827762433,,0.0763404220342636,0.0564831420779228,0.0880184471607208,0.0894061028957367,0.0991923213005065,0.1786302030086517,0.0852409154176712
