dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,quad1,quad2,quad3,quad4,size,orientation,quad1_quad2,quad1_quad3,quad1_quad4,quad1_orientation,quad1_size,quad2_quad3,quad2_quad4,quad2_size,quad2_orientation
quad,simple64bn,2,2.32.8,1.0,10.0.0.0,0,0.5490744495222601,0.640484418313718,0.7154417654561935,0.0474900379776954,0.0566562972962856,0.0617550462484359,0.0468435958027839,0.0485803633928298,0.0675340369343757,0.048835951834917,0.0731672719120979,0.1233931928873062,0.0589352026581764,0.0528213679790496,0.1186445951461792,0.0576696768403053,0.0721012949943542,0.0734578371047973,0.0631583482027053
quad,simple64bn,2,2.32.8,1.0,10.0.0.0,1,0.4761855602234295,0.4933189669634516,1.4537078494320057,0.0444992519915103,0.0470313280820846,0.0479911044239997,0.0545017533004283,0.0456026867032051,0.048599537461996,0.0413177013397216,0.0585801713168621,0.079114057123661,0.2632057070732116,0.0457318089902401,0.1570265591144561,0.0893873125314712,0.0588309429585933,0.1837507486343383,0.0438797771930694
quad,simple64bn,2,2.32.8,1.0,10.0.0.0,2,0.4838194351265366,0.4840573318940311,0.6730686510115865,0.067241333425045,0.0714453756809234,0.0562244839966297,0.0571643263101577,0.0492837503552436,0.0715667456388473,0.0742011666297912,0.1803079098463058,0.0688272416591644,0.0673421025276184,0.0687479376792907,0.0953710153698921,0.0630672127008438,0.0765607506036758,0.0894461646676063,0.0600875318050384
quad,simple64bn,2,2.32.8,1.0,10.0.0.0,3,0.51490867387753,0.5393110657416993,0.7258042313546889,0.0536719970405101,0.0590254478156566,0.0626487955451011,0.0631793290376663,0.0560402907431125,0.0893325060606002,0.0506325401365757,0.0635309144854545,0.15887251496315,0.0707172974944114,0.0597285255789756,0.1047811508178711,0.0661834925413131,0.0946107506752014,0.1053717732429504,0.0627791956067085
quad,simple64bn,2,2.32.8,1.0,10.0.0.0,4,0.4820651916725762,0.4841900515805291,0.7709644830134336,0.0570543520152568,0.0465983189642429,0.0579355880618095,0.0659891590476036,0.0610900223255157,0.0858792811632156,0.0601571202278137,0.0828517824411392,0.0742305368185043,0.1740878820419311,0.0585911162197589,0.0987370759248733,0.099270612001419,0.0715007334947586,0.1051901802420616,0.0582024790346622
quad,simple64bn,2,2.32.8,1.0,100.0.0.0,0,0.4976969728775986,0.5074337670789574,0.7097864953425991,0.0477290824055671,0.0571375638246536,0.0427163355052471,0.0476168952882289,0.0446026287972927,0.0681565254926681,0.0510422885417938,0.0666408985853195,0.1018876135349273,0.0600163638591766,0.0495057366788387,0.1212874799966812,0.0470814444124698,0.14620441198349,0.1053094044327735,0.0449622012674808
quad,simple64bn,2,2.32.8,1.0,100.0.0.0,1,0.4785295032285958,0.4885234531488304,1.544882331507524,0.062485184520483,0.059683434665203,0.0640382766723632,0.0634725987911224,0.0639730915427208,0.0826544985175132,0.0671750381588935,0.0627991557121276,0.1206252053380012,0.2701172232627868,0.0557382442057132,0.1190647408366203,0.275997519493103,0.1890830248594284,0.1949235647916793,0.0600739419460296
quad,simple64bn,2,2.32.8,1.0,100.0.0.0,2,0.4634280367450912,0.465366155322463,0.5692898697636873,0.0519342087209224,0.0627286732196807,0.0568056665360927,0.0547987334430217,0.0568025484681129,0.0645791739225387,0.0567417629063129,0.0646620467305183,0.1192936971783638,0.0557564124464988,0.0698408037424087,0.0878650099039077,0.0502957589924335,0.0592063255608081,0.081643670797348,0.0588748753070831
quad,simple64bn,2,2.32.8,1.0,100.0.0.0,3,0.4934772134091279,0.5146717859831965,1.2698678693331398,0.0565899312496185,0.0571971647441387,0.0640815198421478,0.0807042047381401,0.0595740489661693,0.0741777122020721,0.0874141305685043,0.2532263696193695,0.2084164470434188,0.197861447930336,0.0767028033733367,0.2212208658456802,0.0981879383325576,0.1435175836086273,0.0890415459871292,0.0929548293352127
quad,simple64bn,2,2.32.8,1.0,100.0.0.0,4,0.4705950791496636,0.4845650159655905,0.8704618034606654,0.055240724235773,0.0630279704928398,0.0489262156188488,0.0587261840701103,0.0526141598820686,0.055812869220972,0.0624560937285423,0.0555346719920635,0.1201821565628051,0.077121615409851,0.0628511533141136,0.0837427526712417,0.1435490548610687,0.1884441375732422,0.0711614266037941,0.0659178346395492
