dataset,arch_flag,seed,final_val_elbo_bpd,ood_val_elbo_bpd,obs,bg,obj,sl,bg-obj,bg-sl,obj-sl
3dident,Ada-GVAE,0,3.2673634290022315,3.27701712846347,0.2936005592346191,0.240602821111679,0.247864156961441,0.29412642121315,0.2119300812482834,0.1961720883846283,0.2782599925994873
3dident,Ada-GVAE,1,3.2642046967579263,3.269547315028833,0.2888897955417633,0.2016749829053878,0.2653727233409881,0.2342638373374939,0.2916492819786072,0.2246331125497818,0.2816416621208191
3dident,Ada-GVAE,2,3.2672139965331013,3.275979359771169,0.2647151052951813,0.2362784296274185,0.2375383079051971,0.254134327173233,0.2382997572422027,0.2481049746274948,0.2429784387350082
3dident,Ada-GVAE,3,3.267914626885837,3.273610437411768,0.2384107410907745,0.2107063382863998,0.2225908190011978,0.2211773246526718,0.2688760757446289,0.2248761802911758,0.2644004821777344
3dident,Ada-GVAE,4,3.266443238351202,3.274379843458423,0.2483097612857818,0.2719602882862091,0.2401168048381805,0.2618861496448517,0.2495107352733612,0.2411198914051056,0.3034228980541229
3dident,BetaTCVAE,0,3.260762236983808,3.2650170162213707,0.2175567150115966,0.2323861122131347,0.2503399848937988,0.2362673282623291,0.2564296722412109,0.268521636724472,0.2426281720399856
3dident,BetaTCVAE,1,3.2608721495825272,3.2639752801568425,0.273598313331604,0.2480979859828949,0.2743046283721924,0.2793029844760895,0.2485043704509735,0.2311152219772339,0.2313796281814575
3dident,BetaTCVAE,2,3.261061214192342,3.265501397637416,0.2426467984914779,0.2560661137104034,0.2733021676540375,0.2542864680290222,0.2664009928703308,0.2387718558311462,0.2486556470394134
3dident,BetaTCVAE,3,3.260673988879101,3.263518856240522,0.2647345066070556,0.2459757775068283,0.287454217672348,0.2429444789886474,0.3017325699329376,0.2412977963685989,0.2583332657814026
3dident,BetaTCVAE,4,3.2597698543449085,3.261459657972118,0.2856882214546203,0.2861466109752655,0.23094342648983,0.2551732659339905,0.2333065420389175,0.2961601912975311,0.2519790232181549
3dident,TVAE,0,3.2662422679557435,3.27541390894385,0.2475994229316711,0.27818363904953,0.2613984942436218,0.2695114016532898,0.2601629197597503,0.2248066514730453,0.2985111474990845
3dident,TVAE,1,3.270781515853689,3.2803184615673926,0.2356992065906524,0.2648929357528686,0.2575247585773468,0.2696129381656647,0.2460439056158065,0.2787941694259643,0.250127226114273
3dident,TVAE,2,3.2911189700847965,3.301398519090453,0.2391034513711929,0.2559280395507812,0.280072808265686,0.2290286570787429,0.2242341786623001,0.210854560136795,0.2778501510620117
3dident,TVAE,3,3.289926968696488,3.2994040413332217,0.2552720010280609,0.2416063398122787,0.2569692134857178,0.2463083565235138,0.2645777463912964,0.2625552415847778,0.2566382884979248
3dident,TVAE,4,3.29014315061345,3.300040513504547,0.2468882799148559,0.268880546092987,0.239163726568222,0.2339308112859726,0.285816878080368,0.2290074527263641,0.2627497613430023
